North.American.Product.Classification.System..NAPCS.,"Total, Industrial product price index (IPPI)",Fresh and frozen beef and veal [17211],Fresh and frozen pork [17212],"Fresh and frozen lamb, mutton and goat meat [17214]",Complete cattle feed [181121],Complete swine feed [181122]
1/1/56,13.3,12.8,8,7.2,17.7,23
2/1/56,13.3,12.5,8.3,7,17.7,23
3/1/56,13.4,12.5,8.2,7,17.9,23
4/1/56,13.4,13,8.1,7.2,18,23.2
5/1/56,13.4,13.5,9.1,8.1,18.2,23.8
6/1/56,13.5,14.4,10.4,8.9,18.1,23.7
7/1/56,13.4,14.8,10.6,8.9,18,23.8
8/1/56,13.5,14.6,10.6,8.1,18,23.8
9/1/56,13.5,14.1,11.3,7.2,18,24.1
10/1/56,13.5,13.5,11.5,6.7,18,24.4
11/1/56,13.6,13.1,11.4,6.8,18.2,24.4
12/1/56,13.6,13.1,11.2,7.3,18.1,24.3
1/1/57,13.7,13.3,11.2,7.7,18.2,24.3
2/1/57,13.7,13.1,11.5,7.7,18.2,24.2
3/1/57,13.7,13.6,10.9,7.7,18,23.8
4/1/57,13.7,14.4,10.8,8.2,18,23.7
5/1/57,13.7,14.6,11.5,8.6,17.5,23.2
6/1/57,13.7,14.4,12.5,9.3,17.5,22.9
7/1/57,13.7,13.9,13.3,8.7,17.4,22.8
8/1/57,13.7,13.5,13.2,7.7,17.4,22.9
9/1/57,13.7,13.2,12.2,7.1,17.5,23
10/1/57,13.7,12.8,10.9,6.7,17.3,22.7
11/1/57,13.7,12.9,10.5,6.9,17,22.5
12/1/57,13.7,13.6,10.6,7.4,17.5,22.4
1/1/58,13.7,15.4,10.3,8.3,17.2,22.2
2/1/58,13.7,15.9,10.9,8.5,17.2,22.4
3/1/58,13.7,16.4,10.9,8.5,17.3,22.5
4/1/58,13.7,17.7,10.9,8.6,17.4,22.8
5/1/58,13.7,18.2,11.9,8.9,17.4,22.6
6/1/58,13.7,17.7,11.7,9.2,17.4,22.8
7/1/58,13.7,17.1,11.7,8.3,17.4,23.5
8/1/58,13.7,16.7,11.2,8,17.4,23.7
9/1/58,13.7,17.2,10.4,7.2,17.4,23.5
10/1/58,13.7,17.2,10.1,7.4,17.3,23.5
11/1/58,13.8,17.7,9.7,7.3,17.4,23.5
12/1/58,13.8,19.1,9.7,7.6,17.9,23.9
1/1/59,13.8,19.9,9.7,8,18.2,23.9
2/1/59,13.8,19,10.1,7.5,18.2,24
3/1/59,13.8,18.1,9.9,7.4,18.2,24.4
4/1/59,13.8,17.9,9.8,8.6,18.3,24.5
5/1/59,13.8,17.7,9.8,8.8,18,24
6/1/59,13.8,17.6,9.9,9.2,17.6,23.6
7/1/59,13.8,18.1,10.1,9.2,17.7,23.5
8/1/59,13.8,18.1,9.8,7.7,17.7,23.4
9/1/59,13.9,18.2,10.1,7.2,17.7,23.5
10/1/59,13.8,17.7,9.8,5.9,17.5,23.1
11/1/59,13.8,17,9.6,5.7,17.7,23
12/1/59,13.8,16.7,9.5,6.9,17.8,23.3
1/1/60,13.9,16.7,9.4,7.5,17.9,23.3
2/1/60,13.8,15.7,9.3,7.7,18,23.4
3/1/60,13.8,16.1,8.6,8.1,17.7,23
4/1/60,13.9,16.3,8.9,8.6,17.9,23.2
5/1/60,13.8,16.4,8.9,8.9,17.7,23.2
6/1/60,13.9,16.7,10.6,9.7,17.7,23.1
7/1/60,13.9,17,11.4,9.1,17.5,23
8/1/60,13.9,16.7,10.6,7.6,17.4,22.9
9/1/60,13.9,16.7,11.4,7.3,17.4,22.9
10/1/60,13.9,16,11.2,7.1,17.4,22.8
11/1/60,13.8,16,10.6,7.1,17.2,22.8
12/1/60,13.9,16.3,11.2,7.3,17.2,22.8
1/1/61,13.9,16.9,11.5,7.7,17.4,23
2/1/61,13.9,16.9,11.3,7.5,18.1,23.7
3/1/61,13.8,16.7,10.7,7.3,18,23.6
4/1/61,13.9,16.7,9.9,7.5,17.8,23.8
5/1/61,13.8,16.2,10.4,8.1,17.7,23.6
6/1/61,14,15.9,11.3,8.2,17.4,23.2
7/1/61,13.9,15,11.2,8.1,17.7,23.9
8/1/61,13.9,15.4,10.5,7.5,18.4,24.6
9/1/61,13.9,15.8,10.6,7,18.5,24.8
10/1/61,13.9,15.9,10.5,6.8,18.5,24.7
11/1/61,13.9,16.2,9.9,6.8,18.8,24.8
12/1/61,14,17.4,9.8,6.9,19,25.2
1/1/62,14,17.6,9.7,7.2,18.9,25.4
2/1/62,14,16.8,9.7,7,19.8,26.1
3/1/62,14,16.7,9.7,7.2,19.5,26
4/1/62,14,17,9.7,7.9,19.8,26.4
5/1/62,14.1,17.6,10.6,8.8,20.1,26.5
6/1/62,14.1,18.1,12.2,8.8,20.3,26.5
7/1/62,14.2,19,12.6,9.9,20.2,26.6
8/1/62,14.2,19.1,12.6,7.6,20.2,26.4
9/1/62,14.2,19,11.8,7.1,20.1,26.3
10/1/62,14.2,19,11.8,6.6,19.8,26.1
11/1/62,14.2,18.6,11.4,6.6,20.1,26.5
12/1/62,14.2,18.1,11.4,7.7,20.3,26.7
1/1/63,14.2,17.6,11.2,8.2,20.7,27.1
2/1/63,14.2,16.8,11.2,8.7,20.7,27
3/1/63,14.2,16.2,10.5,8.8,20.5,26.7
4/1/63,14.2,17.1,9.7,9.2,20.2,26.5
5/1/63,14.2,17,10.3,9.9,19.5,25.9
6/1/63,14.3,17.2,11.7,10.2,19.5,25.8
7/1/63,14.3,18.2,11.7,9.2,19.4,25.7
8/1/63,14.3,18.4,11,8,19.5,25.9
9/1/63,14.3,18.5,10.9,7.1,19.5,25.7
10/1/63,14.3,17.1,10.3,6.7,19.4,25.7
11/1/63,14.4,16.4,9.7,6.7,19,25.7
12/1/63,14.3,15.8,9.9,7.1,19.2,25.7
1/1/64,14.4,15.8,9.8,7.7,19.4,25.8
2/1/64,14.4,15.7,9.9,7.9,19.2,25.6
3/1/64,14.4,16.4,9.6,8.2,19,25.1
4/1/64,14.4,16.9,9.4,9.7,18.8,24.8
5/1/64,14.4,16.8,9.7,10.5,19,25.2
6/1/64,14.4,16.6,11.3,10.4,18.8,24.8
7/1/64,14.4,16.8,10.7,9.6,18.9,24.9
8/1/64,14.4,16.5,10.8,8.2,18.9,25.1
9/1/64,14.4,16.2,11.2,7.3,19.1,25.3
10/1/64,14.4,15.8,10.8,7.2,19.2,25.8
11/1/64,14.4,15.3,10.4,7.3,19,25.6
12/1/64,14.4,15.2,10.3,8,19.2,25.9
1/1/65,14.4,15.3,10.3,8.8,19.4,25.9
2/1/65,14.5,15.5,10.7,9.3,19.2,26.5
3/1/65,14.5,15.7,10.2,9.8,19.5,26.9
4/1/65,14.5,15.9,10.1,10.5,19.6,26.9
5/1/65,14.5,16.1,10.3,11.2,19.2,26.2
6/1/65,14.7,17.1,12.6,11.5,19.2,25.8
7/1/65,14.7,16.8,12.5,10.3,19.2,25.9
8/1/65,14.7,16.8,12.6,9.2,19.4,26.3
9/1/65,14.7,16.3,12.4,8.2,19.2,26.2
10/1/65,14.7,16.2,13.7,8.3,19.4,26.3
11/1/65,14.7,16.3,13.7,8.2,19.4,26.3
12/1/65,14.7,16.7,14.5,9.2,19.5,26.6
1/1/66,14.8,17.7,14.5,10.4,19.8,27.1
2/1/66,14.9,18.5,14.8,10.8,19.8,27.1
3/1/66,15,18.9,12.7,10.9,20.3,27.3
4/1/66,14.9,18.9,11.4,10.9,19.9,26.9
5/1/66,15,18.5,12.2,11.2,19.9,27
6/1/66,15,18.2,13.6,11.5,20.2,27.2
7/1/66,15,18.1,13.2,10.4,20.3,27.6
8/1/66,15,18.5,13.6,9.8,20.3,27.6
9/1/66,15.1,19.3,14.1,9.1,20.2,28.1
10/1/66,15,18.9,14,8.7,20.3,27.4
11/1/66,15.1,18.5,12.7,8.5,20.3,27.5
12/1/66,15.1,19.3,12.2,8.9,20.3,27.7
1/1/67,15.1,19.8,12,9.3,20.3,27.7
2/1/67,15.2,19.5,11.9,9.4,20.5,27.9
3/1/67,15.3,19.5,11.6,9.3,20.6,27.4
4/1/67,15.3,19.5,11.2,10,20.5,27.4
5/1/67,15.4,19.5,12.1,12.1,20.5,27
6/1/67,15.4,20.3,12.5,12.4,20.6,27.1
7/1/67,15.4,20.6,11.6,11.7,20.5,27.1
8/1/67,15.4,20.8,11.6,10.9,20.3,26.5
9/1/67,15.4,21,11.6,9.4,20.3,26.7
10/1/67,15.4,20.5,12.2,9.3,20.3,26.5
11/1/67,15.4,20.3,11.4,9,20.3,26.6
12/1/67,15.4,20.1,11.7,9.2,20.3,26.5
1/1/68,15.5,19.9,11.5,9.8,20.5,26.5
2/1/68,15.5,19.5,11.4,10,20.7,26.5
3/1/68,15.6,18.9,11.2,10.7,20.7,26.6
4/1/68,15.5,19.3,10.6,12.8,20.3,26.4
5/1/68,15.5,19.8,11.2,14.5,20.2,26.2
6/1/68,15.6,20.6,12.3,13.8,19.9,26
7/1/68,15.6,20.8,12.5,11.9,20.1,26.2
8/1/68,15.6,20.9,13.4,10.5,20.1,26.1
9/1/68,15.7,20.9,14.1,9.7,19.4,25.3
10/1/68,15.7,20.7,13.7,9.5,18.8,24.9
11/1/68,15.8,20.3,13.5,9.8,18.8,24.5
12/1/68,15.8,20.2,14,10.4,18.8,24.7
1/1/69,15.9,20.1,13.7,11.8,18.9,25.1
2/1/69,16.1,20.1,14.5,12.3,18.9,25.1
3/1/69,16.1,20.8,13.4,12.4,18.8,24.9
4/1/69,16.1,22.4,13,14.2,18.8,24.8
5/1/69,16.1,24.2,13.7,14.9,18.8,24.9
6/1/69,16.2,25.5,15.7,14.2,18.8,25.2
7/1/69,16.1,24.6,14.8,13.4,18.8,25.1
8/1/69,16.1,23.1,15.1,11.4,18.8,24.8
9/1/69,16.2,22.2,16,10.7,18.8,24.8
10/1/69,16.2,20.8,16.1,10.5,18.7,24.8
11/1/69,16.3,20.8,15.1,10.9,18.7,24.8
12/1/69,16.4,21.4,15.4,12.3,18.8,25.3
1/1/70,16.6,22.5,14.9,12.9,18.9,25.9
2/1/70,16.7,23.4,15.1,12.7,18.9,26.2
3/1/70,16.8,23.8,14.1,13.8,18.8,25.7
4/1/70,16.8,24.2,13.2,13.9,19.1,25.7
5/1/70,16.8,23.6,13.3,14,19.4,25.7
6/1/70,16.6,23.1,13.3,14.2,19.4,25.9
7/1/70,16.5,23,13,13,19.4,25.9
8/1/70,16.4,22.2,13,12.4,19.4,26
9/1/70,16.4,22.6,13,11.5,19.8,26.6
10/1/70,16.5,22.3,13.3,11.3,19.8,27
11/1/70,16.5,22.5,11.9,11.3,20.1,26.9
12/1/70,16.5,22.6,10.7,11.9,20.4,27.4
1/1/71,16.7,23.2,10.4,12.1,20.7,27.4
2/1/71,16.8,24.2,11,12.5,20.7,27.6
3/1/71,16.8,24,10.4,12.6,20.7,27.3
4/1/71,16.8,24.6,9.8,12.9,21.8,27.6
5/1/71,16.8,24,10.1,13.4,21.8,27.1
6/1/71,16.8,24.5,10.9,14.5,21.5,27
7/1/71,17,23.9,11.2,13.8,21.5,27
8/1/71,17,23.9,12.6,13,21.4,26.6
9/1/71,17,23.7,12.7,12.1,21.3,26.5
10/1/71,17,23.8,13.6,11.5,21,26.4
11/1/71,17,24.9,12.4,11.3,20.6,25.9
12/1/71,17.1,25.2,12.4,11.5,21,26.2
1/1/72,17.3,25.9,12.6,12,21,26.5
2/1/72,17.4,25.9,14.5,12.8,20.9,26.7
3/1/72,17.5,26.8,14.3,13.9,20.7,26.9
4/1/72,17.6,26.8,14.3,14.4,20.8,27.1
5/1/72,17.6,27,14.3,15,20.7,27.3
6/1/72,17.6,27.2,15.3,15.5,20.5,26.7
7/1/72,17.7,26.9,16.3,14.7,20.4,27
8/1/72,17.7,26.2,16.8,13.9,20.7,27.3
9/1/72,17.8,25.7,17.3,12.6,22.1,28.1
10/1/72,17.8,25.4,17.3,12.4,22.7,28.7
11/1/72,17.9,26.3,16.4,12.6,22.8,29.7
12/1/72,18.1,26.8,16.6,12.8,23.4,31.8
1/1/73,18.4,28.5,16.9,13,23.9,33.7
2/1/73,18.6,29,18.2,13.9,24.2,35.6
3/1/73,18.8,30.7,19.8,16,24.3,37.1
4/1/73,19,31.2,17.5,16.5,24.3,36.1
5/1/73,19.3,33.2,17.6,16,27.1,38.6
6/1/73,19.5,33.2,17.6,16,29.5,44.5
7/1/73,19.8,32.4,20.3,15.5,30,46.7
8/1/73,20.3,40,25.8,16.8,34.1,51.6
9/1/73,20.2,36.4,21.1,15.5,34.1,49.8
10/1/73,20.4,35.3,22.2,13.9,33.6,43.6
11/1/73,20.5,34.1,21.1,15,34.5,42.4
12/1/73,20.8,32.5,20.5,15.7,36.1,45.4
1/1/74,21.5,36.4,19.6,17,37.8,46.4
2/1/74,21.8,35.4,18.4,16.9,37.7,46.3
3/1/74,22.1,33.3,16.2,16.7,35.9,45.4
4/1/74,22.7,35,15.3,18.7,36.9,43.6
5/1/74,22.9,34.3,14.5,24.3,36.4,42.6
6/1/74,23.1,35.1,14.6,27.1,34.5,40.6
7/1/74,23.6,35,17.6,24.8,33.6,42.2
8/1/74,24,34,19.7,20.2,40,49.5
9/1/74,24.2,33.6,20.5,17.3,41.1,48.6
10/1/74,24.6,31.8,20.1,16.9,40.6,49.5
11/1/74,24.9,33.4,20,16.3,39.3,48
12/1/74,24.9,32.6,21.2,17.9,39.8,48
1/1/75,25.3,32.2,20.5,18.3,40.7,48.4
2/1/75,25.4,27.5,21.8,18.9,37.1,45.4
3/1/75,25.4,28.1,19.3,19.6,35.9,43.8
4/1/75,25.6,28.6,20.1,19.6,37.6,45
5/1/75,25.9,34.7,23,20.6,38,44.4
6/1/75,25.9,33.5,25.4,22.8,36.5,43.7
7/1/75,26,33.3,28.7,21.3,35.9,43.8
8/1/75,26.3,30.7,30.8,19.3,38.1,46
9/1/75,26.4,31.1,31.9,18.1,38.4,47
10/1/75,26.6,32.5,30.4,19.4,37.7,46.3
